;)))))  6 1
◜◝╮  6 0
@.@  6 0
>>>>  6 0
:)))))))  6 1
≈  6 0
xXxXx  6 0
x26  6 0
🍰  6 0
🍝  6 0
-_______-  6 -1
😒👎  6 -1
(=  6 1
:-)))))  6 1
<3<3<3  6 1
;O  6 0
;}  6 1
†  6 0
―  6 0
