xyYqXBEp0k,365.0,0.0,365,365,0.0
gEnjmX,393.50258131130613,1.2458632387421116,394,390,0.0
sq24HfcN3u,650.78834720570751,36097.446285139864,768,314,0.0
iQAEvwou6mB,430.46675358539767,21826.873405758055,527,193,0.0
qhFO5DM8,1882.2459242884775,2227.4609359997949,1998,1863,0.0
cD1ky1p0WKII,398.16105292952165,15464.156060255618,437,0,0.088876309085762814
g9_OxarnRqOAUn,298.0,0.0,298,298,0.0
tEiy9TJHjW3,724.0,0.0,724,724,0.0
tFtBExRJBk,344.4085047054723,5878.2221096149133,440,275,0.0
lStXf77DFFOqMd3,597.69462193823222,1474.7946569124476,688,581,0.0
jq_clN3FEX,106.27135135135136,0.92636844411979569,107,105,0.0
wf8lU7nil9B_,59.0,0.0,59,59,0.0
fFRVeo1I,292.45428733674049,2.0650596993796757,297,292,0.0
tXiQomcH64W3,1873.6524624519734,839.21033885424856,1883,480,0.0
dfHWc2_qwC3NDCK,25251.914951400802,74888469.958604366,33324,15840,0.0
x5SMTJGkkeDi,285.41361256544502,2303.6561497765961,334,238,0.0
lqUk0B5gSO7xhrB,45.586903304773564,33.293855404358723,58,42,0.0
wVyVdyXBJi1s,371.50335008375208,890.69666661055123,400,322,0.0
o4d_ZMCaPR669,1230.423541247485,43241.290431725167,1385,930,0.0
hfchSKPX25emwy,162.76296296296297,0.41788751714677647,163,161,0.0
ge9ua7b,163.49423076923077,4368.8153513313609,238,83,0.0
f5ndxWrZKIE,2177.1516109605541,34570.934105354216,2358,1983,0.0
q659DpeVQKNpP,119.73325213154689,14.36855324824454,129,118,0.0
SZVNvirefQ,147.05097933995171,7.8466095855672577,155,140,0.0
iwmsilgt0,204.67009523809523,820.93878189569159,243,183,0.0
fGlr0YAbXbu7,9.0,0.0,9,9,0.0
hAYtV3a,768.39418062036782,2109.8308966865634,786,648,0.0
jNrMqx8XNTHm5K,75.0,0.0,75,75,0.0
g336FaT2YhXw,369.0,0.0,369,369,0.0
wizae58MiTmGe,3925.2655986509276,11712.861160560671,3982,3715,0.0
ibTZjZXzX,284.37489609310057,656.515313268505,331,270,0.0
ddpLPfmBUhE8,187.0,0.0,187,187,0.0
jtTIHLIvgGACAOL,320.0,0.0,320,320,0.0
lYUYC0uJF19Ka,4.0,0.0,4,4,0.0
sDsjR2Vs,551.8622255866768,13714.46095765085,711,432,0.0
dMRTIPTVKC0FRR,1779.6949891067538,572.75664155761558,1789,1707,0.0
RtswG0wspvBoC,1074.1890945472737,69435.995759010053,1193,439,0.0
tNkY83vbE,916.24715138361364,1346.1844397963996,931,824,0.0
nxLPgTw2lg,365.97168742921855,9.7443852613029058,376,365,0.0
iM_uxYt,700.66623843782122,3489.1956433018331,832,673,0.0
pU4SxhlN6,761.6786316144254,6145.5022161255001,852,689,0.0
hzOAn1MqNd,727.76444650731025,84.39543123808771,735,711,0.0
xXLQ_F27UU8XEM,1176.0099502487562,4763.6337318383194,1250,1109,0.0
g4UG1YQEnmo,101.0,0.0,101,101,0.0
uVsKRmP4jDp,1427.5335051546392,86009.866965502064,1935,1258,0.0
